,true class,pred_class,AGN,STAR,ULX,YSO
241,STAR,STAR,0.014,0.912,0.072,0.002
242,STAR,STAR,0.07,0.716,0.188,0.026
243,STAR,STAR,0.258,0.688,0.042,0.012
244,AGN,AGN,0.952,0.038,0.01,0.0
245,STAR,ULX,0.182,0.358,0.458,0.002
246,AGN,AGN,0.9126666666666666,0.036,0.051333333333333335,0.0
247,AGN,AGN,0.502,0.208,0.284,0.006
248,AGN,AGN,0.7861666666666667,0.18383333333333335,0.028,0.002
249,AGN,AGN,0.992,0.008,0.0,0.0
250,STAR,STAR,0.128,0.712,0.146,0.014
251,AGN,AGN,0.962,0.018,0.002,0.018
252,STAR,STAR,0.0,0.986,0.014,0.0
253,STAR,STAR,0.018,0.954,0.012,0.016
254,STAR,STAR,0.0,0.996,0.004,0.0
255,ULX,ULX,0.199,0.33,0.471,0.0
256,AGN,AGN,0.65,0.234,0.112,0.004
257,AGN,AGN,0.9447333333333332,0.034,0.021266666666666666,0.0
258,AGN,AGN,0.954,0.04,0.004,0.002
259,STAR,STAR,0.048,0.87,0.044,0.038
260,AGN,STAR,0.366,0.548,0.038,0.048
261,STAR,STAR,0.008,0.978,0.012,0.002
262,YSO,YSO,0.064,0.096,0.054,0.786
263,AGN,AGN,0.556,0.354,0.016,0.074
264,STAR,STAR,0.0,0.952,0.048,0.0
265,AGN,STAR,0.29,0.36,0.328,0.022
266,STAR,STAR,0.002,0.99,0.008,0.0
267,STAR,STAR,0.448,0.522,0.022,0.008
268,STAR,STAR,0.0,0.996,0.002,0.002
269,AGN,AGN,0.984,0.014,0.002,0.0
270,STAR,STAR,0.0,0.994,0.006,0.0
271,AGN,AGN,0.99,0.01,0.0,0.0
272,STAR,STAR,0.048,0.914,0.032,0.006
273,AGN,AGN,0.688,0.258,0.026,0.028
274,STAR,STAR,0.004,0.986,0.008,0.002
275,AGN,AGN,0.904,0.05,0.006,0.04
276,AGN,AGN,0.944,0.048,0.008,0.0
277,AGN,AGN,0.9763333333333334,0.006,0.017666666666666667,0.0
278,STAR,STAR,0.114,0.776,0.1,0.01
279,STAR,STAR,0.012,0.936,0.052,0.0
280,AGN,AGN,0.527,0.146,0.327,0.0
281,AGN,AGN,0.988,0.006,0.006,0.0
282,STAR,STAR,0.012,0.868,0.104,0.016
283,AGN,AGN,0.5926666666666668,0.244,0.15333333333333332,0.01
284,ULX,AGN,0.68,0.304,0.012,0.004
285,STAR,STAR,0.17,0.598,0.08,0.152
286,AGN,AGN,0.702,0.182,0.096,0.02
287,STAR,STAR,0.014,0.932,0.028,0.026
288,AGN,AGN,0.97,0.008,0.022,0.0
289,STAR,STAR,0.048,0.918,0.016,0.018
290,STAR,STAR,0.196,0.726,0.078,0.0
291,STAR,STAR,0.02,0.954,0.014,0.012
292,AGN,AGN,0.414,0.36,0.182,0.044
293,STAR,STAR,0.446,0.468,0.018,0.068
294,STAR,STAR,0.076,0.782,0.13,0.012
295,AGN,AGN,0.9363333333333334,0.02,0.043666666666666666,0.0
296,AGN,AGN,0.996,0.002,0.002,0.0
