,freq
840,454000000000000.0
841,455000000000000.0
842,456000000000000.0
843,457000000000000.0
844,458000000000000.0
845,459000000000000.0
846,460000000000000.0
847,461000000000000.0
848,462000000000000.0
849,463000000000000.0
850,465000000000000.0
851,466000000000000.0
852,467000000000000.0
853,468000000000000.0
854,470000000000000.0
855,471000000000000.0
856,472000000000000.0
857,473000000000000.0
858,474000000000000.0
859,475000000000000.0
860,476000000000000.0
861,477000000000000.0
862,478000000000000.0
863,479000000000000.0
864,480000000000000.0
865,481000000000000.0
866,486000000000000.0
867,487000000000000.0
868,493000000000000.0
869,494000000000000.0
870,495000000000000.0
871,496000000000000.0
872,497000000000000.0
873,500000000000000.0
874,501000000000000.0
875,503000000000000.0
876,505000000000000.0
877,506000000000000.0
878,507000000000000.0
879,508000000000000.0
880,509000000000000.0
881,510000000000000.0
882,514000000000000.0
883,517000000000000.0
884,518000000000000.0
885,521000000000000.0
886,524000000000000.0
887,526000000000000.0
888,540000000000000.0
889,541000000000000.0
890,542000000000000.0
891,545000000000000.0
892,546000000000000.0
893,547000000000000.0
894,548000000000000.0
895,549000000000000.0
896,550000000000000.0
897,551000000000000.0
898,552000000000000.0
899,553000000000000.0
900,554000000000000.0
901,555000000000000.0
902,556000000000000.0
903,557000000000000.0
904,558000000000000.0
905,559000000000000.0
906,560000000000000.0
907,561000000000000.0
908,562000000000000.0
909,570000000000000.0
910,571000000000000.0
911,576000000000000.0
912,577000000000000.0
913,578000000000000.0
914,581000000000000.0
915,582000000000000.0
916,588000000000000.0
917,594000000000000.0
918,598000000000000.0
919,599000000000000.0
920,600000000000000.0
921,602000000000000.0
922,604000000000000.0
923,605000000000000.0
924,606000000000000.0
925,607000000000000.0
926,608000000000000.0
927,612000000000000.0
928,615000000000000.0
929,616000000000000.0
930,617000000000000.0
931,619000000000000.0
932,620000000000000.0
933,621000000000000.0
934,623000000000000.0
935,627000000000000.0
936,628000000000000.0
937,629000000000000.0
938,630000000000000.0
939,631000000000000.0
940,632000000000000.0
941,633000000000000.0
942,634000000000000.0
943,636000000000000.0
944,640000000000000.0
945,641000000000000.0
946,644000000000000.0
947,648000000000000.0
948,649000000000000.0
949,652000000000000.0
950,655000000000000.0
951,656000000000000.0
952,657000000000000.0
953,658000000000000.0
954,659000000000000.0
955,663000000000000.0
956,666000000000000.0
957,669000000000000.0
958,670000000000000.0
959,672000000000000.0
960,674000000000000.0
961,675000000000000.0
962,677000000000000.0
963,678000000000000.0
964,680000000000000.0
965,681000000000000.0
966,683000000000000.0
967,684000000000000.0
968,687000000000000.0
969,688000000000000.0
970,689000000000000.0
971,690000000000000.0
