,band,freq,unit
268,850 microns (SCUBA),353000000000.0,milliJy
269,20-100 keV INTEGRAL,1.45e+19,erg/s/cm^2^
270,5100 A,588000000000000.0,erg/s/cm^2^/A
271,100-150 keV INTEGRAL,3.02e+19,erg/cm^2^/s
272,40-100 keV INTEGRAL,1.69e+19,milliCrab
273,20-40 keV (INTEGRAL),7.25e+18,erg/s/cm^2^
274,168.3 MHz (MWA),168000000.0,Jy
275,B (ESO),658000000000000.0,mag
276,V (ESO),561000000000000.0,mag
277,R (VLT),462000000000000.0,mag
278,1.476 GHz (ATCA),1480000000.0,milliJy
279,15-150 keV (Swift),1.99e+19,erg/cm^2^/s
280,B (ESO-MPI),657000000000000.0,mag
281,V (ESO-MPI),556000000000000.0,mag
282,R_c (ESO-MPI),460000000000000.0,mag
283,r (DECam) AB,472000000000000.0,mag
284,z (DECam) AB,324000000000000.0,mag
285,Y (DECam) AB,297000000000000.0,mag
286,J (VISTA),239000000000000.0,mag
287,K_s (VISTA),140000000000000.0,mag
288,0.1-2.4 keV (ROSAT),3.25e+17,ergs sec^-1^ cm^-2^
289,8.64 GHz (ATCA),8640000000.0,milliJy
290,1.485 GHz (ATCA),1490000000.0,milliJy
291,F160W (HST),187000000000000.0,log(erg/s/cm^2^/Hz)
292,22 GHz (VLA),22400000000.0,milliJy
293,0.2-4.5 keV (XMM),5.68e+17,erg/cm^2^/s
294,0.3-10 keV (Swift),1.25e+18,W/m^2^
295,0.3-7 keV (Chandra),8.83e+17,ergs/s/cm^2^
296,C IV 1549 (HST),1940000000000000.0,ergs/s/cm^2^
297,Fe II + Pa{epsilon},314000000000000.0,W/m^2^
298,Fe II (NTT),300000000000000.0,W/m^2^
299,Pa{delta} (NTT),298000000000000.0,W/m^2^
300,Fe II (NTT),285000000000000.0,W/m^2^
301,He I (NTT),277000000000000.0,W/m^2^
302,Pa{gamma} (NTT),274000000000000.0,W/m^2^
303,Fe II (NTT),269000000000000.0,W/m^2^
304,O I (NTT),266000000000000.0,W/m^2^
305,O III (NTT),223000000000000.0,W/m^2^
306,Pa{alpha} (NTT),160000000000000.0,W/m^2^
307,He I (NTT),158000000000000.0,W/m^2^
308,Mg II (NTT),142000000000000.0,W/m^2^
309,V (KPNO),558000000000000.0,mag
310,B (KPNO),688000000000000.0,mag
311,B (Harris),684000000000000.0,mag
312,V (Harris),557000000000000.0,mag
313,J (IIIa-J + W4),594000000000000.0,mag
314,F (098 + RG610),461000000000000.0,mag
315,u (SDSS) AB,843000000000000.0,mag
